node_type_id model_processing dynamics_params ei morphology model_type pop_name model_template
100 aibs_perisomatic 472363762_fit.json e Scnn1a_473845048_m.swc biophysical e4Scnn1a ctdb:Biophys1.hoc
101 aibs_perisomatic 472912177_fit.json i Pvalb_470522102_m.swc biophysical i4Pvalb1 ctdb:Biophys1.hoc
