edge_type_id target_query source_query dynamics_params target_sections syn_weight distance_range delay model_template
100 ei=='e'&model_type=='biophysical' * exp1isyn.json ['somatic'] 0.002 "[0.0, 1e+20]" 2.0 Exp1iSyn
101 ei=='i'&model_type=='biophysical' * exp1isyn.json ['somatic'] 0.002 "[0.0, 1e+20]" 2.0 Exp1iSyn
